datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran
2017-12-19 01:00:00,48,0.4,,576.0,7.9,,2017-12-19 01:00:00
2017-12-24 05:00:00,28,0.62,,566.0,13.0,,2017-12-24 05:00:00
2017-12-25 13:00:00,34,0.62,,465.0,8.4,,2017-12-25 13:00:00
2017-12-27 05:00:00,30,0.9,,451.0,8.8,,2017-12-27 05:00:00
2017-12-31 16:00:00,60,0.77,,472.0,11.0,,2017-12-31 16:00:00
2018-01-04 17:00:00,36,0.28,,389.0,4.4,,2018-01-04 17:00:00
2018-01-08 06:48:00,32,1.1,SSC,542.0,17.6,ICME-shock,2018-01-08 06:48:00
2018-01-09 21:00:00,36,0.4,,475.0,6.0,,2018-01-09 21:00:00
2018-01-12 06:00:00,23,0.38,,347.0,5.8,,2018-01-12 06:00:00
2018-01-13 08:00:00,34,0.7,,584.0,12.0,,2018-01-13 08:00:00
2018-01-15 01:00:00,36,0.3,,509.0,6.6,,2018-01-15 01:00:00
2018-01-18 20:00:00,41,0.65,,391.0,9.2,,2018-01-18 20:00:00
2018-01-21 05:00:00,39,0.54,,540.0,11.1,,2018-01-21 05:00:00
2018-01-23 11:00:00,24,0.43,,469.0,4.8,,2018-01-23 11:00:00
2018-01-24 14:00:00,32,0.69,,423.0,10.1,,2018-01-24 14:00:00
2018-01-26 04:00:00,55,0.79,,491.0,7.8,,2018-01-26 04:00:00
2018-01-29 07:00:00,36,0.27,,354.0,7.0,,2018-01-29 07:00:00
2018-01-31 08:00:00,41,0.5,,420.0,8.6,,2018-01-31 08:00:00
2018-02-02 20:00:00,28,0.34,,334.0,4.2,,2018-02-02 20:00:00
2018-02-04 13:00:00,71,0.38,,439.0,8.5,,2018-02-04 13:00:00
2018-02-08 01:00:00,39,0.29,,383.0,6.5,,2018-02-08 01:00:00
2018-02-10 05:00:00,36,0.28,,382.0,9.8,,2018-02-10 05:00:00
2018-02-12 10:00:00,23,0.19,,342.0,4.8,,2018-02-12 10:00:00
2018-02-13 12:00:00,18,0.34,,326.0,5.5,,2018-02-13 12:00:00
2018-02-15 08:35:00,51,1.51,SSC,474.0,14.3,ICME-shock,2018-02-15 08:35:00
2018-02-18 02:00:00,46,0.69,,619.0,8.7,,2018-02-18 02:00:00
2018-02-21 01:00:00,34,0.64,,405.0,6.4,,2018-02-21 01:00:00
2018-02-22 18:00:00,34,1.19,,547.0,9.2,,2018-02-22 18:00:00
2018-02-24 10:00:00,36,0.51,,472.0,7.1,,2018-02-24 10:00:00
2018-02-26 22:00:00,77,0.45,,551.0,9.6,,2018-02-26 22:00:00
2018-03-03 05:00:00,62,0.37,,406.0,11.0,,2018-03-03 05:00:00
2018-03-06 14:00:00,35,0.36,,404.0,6.4,,2018-03-06 14:00:00
2018-03-08 08:00:00,30,0.93,,376.0,7.8,,2018-03-08 08:00:00
2018-03-09 18:06:00,33,0.73,SSC,453.0,15.5,ICME-shock,2018-03-09 18:06:00
2018-03-11 10:00:00,48,0.39,,411.0,4.4,,2018-03-11 10:00:00
2018-03-14 16:00:00,37,0.41,,489.0,9.8,,2018-03-14 16:00:00
2018-03-16 13:00:00,38,0.93,,529.0,12.4,,2018-03-16 13:00:00
2018-03-18 13:00:00,36,0.7,,599.0,10.0,,2018-03-18 13:00:00
2018-03-22 13:00:00,36,1.99,,485.0,9.5,,2018-03-22 13:00:00
2018-03-24 09:00:00,60,0.46,,530.0,8.6,,2018-03-24 09:00:00
2018-03-26 23:00:00,32,0.53,,541.0,6.2,,2018-03-26 23:00:00
2018-03-28 13:00:00,24,0.21,,384.0,4.3,,2018-03-28 13:00:00
2018-03-29 16:00:00,110,0.79,,460.0,7.7,,2018-03-29 16:00:00
2018-04-04 23:00:00,38,0.53,,435.0,7.4,,2018-04-04 23:00:00
2018-04-09 06:00:00,105,0.66,,587.0,8.5,,2018-04-09 06:00:00
2018-04-18 12:00:00,31,0.36,,306.0,7.3,,2018-04-18 12:00:00
