repr_time,n_stations,stations,drop_mean,drop_max,A_complex_mean,A_complex_max
2020-06-28 10:08:00,1,LMKS,2.119149031969112,2.119149031969112,5.511835571951354,5.511835571951354
2020-06-28 23:56:00,3,"AATB,JUNG1,NEWK",3.4438699389930663,4.510391745262926,4.648131800729386,5.966821796572667
2020-06-29 21:00:00,3,"JUNG1,KERG,MXCO",3.0408562099643923,3.2540995901803242,4.541487127853257,6.061196743091059
2020-06-30 21:02:00,2,"APTY,LMKS",3.2607953531401628,3.620253665781879,4.292499614120944,5.082194954132195
2020-07-01 20:10:00,7,"AATB,DOMC,INVK,JUNG1,KERG,NEWK,OULU",4.030358836140886,9.523014606154655,4.094655853026225,5.143153696229073
2020-07-02 13:22:00,3,"DOMC,INVK,MXCO",4.9666248068852035,7.8951260378833465,4.437135632249095,4.629818047769308
2020-07-03 12:43:00,5,"AATB,DOMC,INVK,JUNG1,NEWK",4.612287807733318,7.320753018819231,4.6251016748309235,5.859878661007192
2020-07-04 08:52:00,3,"KERG,LMKS,NEWK",2.8440627243539844,4.511052580074315,4.085711634507252,5.382789129499839
2020-07-05 00:10:00,1,APTY,3.1539889993112835,3.1539889993112835,5.287851002316996,5.287851002316996
2020-07-06 02:46:00,3,"INVK,JUNG1,MXCO",3.348019150725229,3.9083217609158916,4.7015623761647864,5.710863122684461
2020-07-07 02:42:00,5,"JUNG1,KERG,LMKS,NEWK,OULU",3.640596758173902,4.503660068803606,4.0175905982249525,5.598944444668245
2020-07-08 06:34:00,3,"JUNG1,MXCO,OULU",3.2125951645716406,4.507615245713094,4.20895507489177,4.607300018070093
2020-07-08 23:54:00,4,"DOMC,INVK,KERG,OULU",4.4090107273265025,7.430439964890436,3.982498226050263,4.5983677244278365
2020-07-09 19:40:00,6,"APTY,JUNG1,KERG,LMKS,MXCO,NEWK",3.2176571006927253,4.190968775152288,4.5896746105895865,8.22027310570661
2020-07-10 15:58:00,2,"INVK,NEWK",3.667880576966394,4.270537847824873,3.996474697575998,5.758485897067844
2020-07-11 09:44:00,2,"LMKS,MXCO",2.6259314390717456,3.0833205487400055,4.72402751554459,4.726303741971936
2020-07-12 10:20:00,5,"AATB,JUNG1,KERG,NEWK,OULU",3.3605362061927995,4.507286539083899,4.175779787457001,6.158356031979952
2020-07-14 10:04:00,8,"AATB,INVK,JUNG1,KERG,LMKS,MXCO,NEWK,OULU",3.3789343442297564,4.731648009744252,4.133031022229136,5.1271065606568165
2020-07-15 02:10:00,2,"APTY,MXCO",3.5976352920146617,3.842707081406548,4.335348907350762,4.767052266708398
2020-07-16 02:48:00,4,"AATB,APTY,INVK,OULU",2.7151653432142964,3.9489986200912477,3.8375062523763326,4.729063529761417
2020-07-17 07:18:00,6,"APTY,DOMC,JUNG1,KERG,LMKS,OULU",3.6277155631141746,7.887473809163594,4.247401810310667,5.18173305073921
2020-07-18 12:36:00,5,"AATB,APTY,INVK,JUNG1,MXCO",3.1243989201164193,4.379796035942846,3.6714771718008685,4.8185166519994205
2020-07-19 04:12:00,1,KERG,2.6685654059029265,2.705634118086171,3.73466234543407,4.00334490369046
2020-07-20 01:22:00,5,"AATB,JUNG1,KERG,MXCO,NEWK",2.910226100136271,3.938747080323624,4.4438469452426785,7.725324503154068
2020-07-21 05:24:00,3,"APTY,KERG,NEWK",2.974167777909573,3.935172870191394,4.709129075852604,5.597962822116123
2020-07-22 01:28:00,2,"AATB,JUNG1",2.237298195024961,2.4102121069776112,3.911339055477953,4.730854779832012
2020-07-22 20:52:00,7,"AATB,APTY,DOMC,INVK,JUNG1,KERG,OULU",3.314814990922204,7.933436204305075,4.146321045994064,5.646531838532102
2020-07-23 15:32:00,1,MXCO,3.133692388393006,3.133692388393006,3.443327520385639,3.443327520385639
2020-07-24 19:46:00,4,"INVK,JUNG1,KERG,NEWK",3.48466660900803,4.0006880852514595,4.325529604699042,5.418229792749328
2020-07-25 21:38:00,6,"AATB,INVK,KERG,MXCO,NEWK,OULU",3.2297687759947404,4.96643528936636,4.095007396601024,4.964462351513128
2020-07-26 18:19:00,1,OULU,3.7930202402039415,3.99736963637743,4.211543727641662,4.741926475727108
2020-07-28 00:32:00,3,"AATB,MXCO,NEWK",3.1495133444870187,3.98725755775379,3.551563058161883,3.9719906617613963
2020-07-28 13:56:00,3,"INVK,JUNG1,KERG",3.4281662446201517,4.010459637873772,4.151806616401472,4.986091514404346
2020-07-30 16:10:00,4,"JUNG1,LMKS,MXCO,NEWK",2.8857473328337617,3.8655214431620215,4.404004039909935,5.321703636078103
2020-07-31 14:58:00,3,"APTY,INVK,NEWK",3.5762686598235445,4.205860472766939,3.644586535976878,4.193825947061419
2020-08-01 04:00:00,1,OULU,4.4650067559424675,4.4650067559424675,3.909623593904213,3.909623593904213
2020-08-01 20:20:00,4,"DOMC,JUNG1,LMKS,MXCO",3.3023031503061517,7.860046229880021,4.420120877796815,6.815770661774905
2020-08-02 23:28:00,3,"APTY,MXCO,NEWK",3.6800336873315915,4.456956862027801,3.9580359056949117,4.654834982389161
2020-08-03 22:20:00,3,"APTY,JUNG1,KERG",3.2161396965868683,3.5406458808101187,4.020099319858233,4.455925710198805
2020-08-04 18:27:00,1,LMKS,17.656118949047382,19.62128175358745,8.155182671551373,11.729240604497873
2020-08-05 20:12:00,3,"INVK,LMKS,NEWK",2.5827557635073086,3.1078272371162154,3.9267270454621497,5.01180516131407
2020-08-06 13:32:00,3,"APTY,JUNG1,LMKS",3.1947461670017385,4.00690416944522,5.305844676950961,8.989863380818699
2020-08-07 11:38:00,3,"APTY,NEWK,OULU",4.038234434345028,4.409020183258489,4.92044952503113,6.1786373889417785
2020-08-08 06:20:00,2,"JUNG1,KERG",2.745780862589329,2.8935904482201065,3.9839637475468876,4.560563711756354
2020-08-09 08:32:00,6,"AATB,DOMC,JUNG1,KERG,MXCO,OULU",3.3268526315624527,7.233892627764647,3.954944147490974,5.67903324687618
2020-08-11 11:28:00,8,"APTY,DOMC,INVK,JUNG1,KERG,MXCO,NEWK,OULU",3.894554747334638,6.840451966805756,3.7592964931548964,4.498320469368531
2020-08-12 07:28:00,5,"AATB,DOMC,KERG,LMKS,NEWK",3.6248011426935784,9.03007879510777,4.054967713426231,5.694384370776614
2020-08-12 21:44:00,2,"JUNG1,OULU",3.6574207604440163,4.308805785063131,4.52322905082941,4.971843756893938
2020-08-14 02:26:00,3,"INVK,JUNG1,LMKS",2.960812946347375,3.6281903619840623,3.8984067178673536,4.8003410726730715
2020-08-14 15:50:00,1,KERG,3.32444669026829,3.32444669026829,3.3684656006904503,3.3684656006904503
2020-08-15 18:00:00,2,"JUNG1,MXCO",2.913589639259677,3.7357913936032183,4.382126475415126,5.34765484882126
2020-08-16 15:54:00,3,"INVK,KERG,LMKS",2.7964612069219887,3.626872481843466,3.7568155856442544,4.205122039146633
2020-08-17 15:41:00,7,"DOMC,INVK,JUNG1,KERG,LMKS,MXCO,NEWK",3.6565374320183466,8.292222705175952,4.152123894098596,5.875044528120019
2020-08-18 08:36:00,2,"KERG,NEWK",3.314302785392776,4.017078547647759,4.567087434085749,5.087330431483239
2020-08-18 23:58:00,2,"APTY,JUNG1",3.2458785469957276,3.8995302828288643,5.134277215536405,6.498250539562538
2020-08-19 16:54:00,2,"AATB,DOMC",5.036339088247839,8.445688413474551,3.868730430484458,4.257458409918619
2020-08-20 10:04:00,3,"DOMC,JUNG1,LMKS",3.263942284546155,7.644520868820657,4.260565935086761,4.9464172837002955
2020-08-20 23:24:00,3,"JUNG1,KERG,MXCO",3.2359784145393995,3.596442067138758,5.2652296694755085,6.6960305355355905
2020-08-21 20:14:00,4,"AATB,INVK,JUNG1,OULU",2.8275700192380424,4.8816308272508735,4.370534796297651,6.169387170079464
2020-08-22 23:26:00,2,"KERG,MXCO",3.237550641289584,3.3709094443705734,6.746808901429094,12.22442495529807
2020-08-23 19:26:00,3,"DOMC,INVK,JUNG1",3.050413525796735,5.737144791923899,3.7633856008708015,4.49327434002347
2020-08-25 15:02:00,8,"AATB,APTY,DOMC,JUNG1,KERG,LMKS,MXCO,OULU",3.2275218423295566,7.226902291933166,3.7751277582212635,5.236204881840261
2020-08-26 23:50:00,4,"DOMC,INVK,NEWK,OULU",4.649972853679698,7.946357732296121,3.6582938607247173,5.564674898722919
2020-08-27 15:26:00,2,"AATB,JUNG1",2.2591366902560277,2.564486041703532,4.349327490589358,5.101690287484103
2020-08-28 21:00:00,6,"APTY,DOMC,KERG,LMKS,MXCO,NEWK",4.115727952830665,8.246656645866999,3.9588827969139233,5.285928590789725
2020-08-30 05:46:00,4,"KERG,MXCO,NEWK,OULU",4.006984145104162,5.077298640878395,4.072858716724716,4.676123078505055
2020-08-30 21:00:00,1,APTY,3.044431577086001,3.044431577086001,4.322641701662611,4.322641701662611
2020-08-31 10:20:00,1,INVK,3.215105707707232,3.215105707707232,3.846735579788826,3.846735579788826
2020-09-01 04:19:00,4,"APTY,INVK,JUNG1,LMKS",3.0067867011876075,3.5721431660345924,4.529082382168654,5.487243248416163
2020-09-02 02:36:00,4,"AATB,APTY,KERG,OULU",3.1294619440072062,4.234424692202094,3.9151913816500477,4.360175606898595
2020-09-03 05:28:00,5,"INVK,JUNG1,KERG,MXCO,OULU",4.046084667991201,4.892626658704594,3.981500287943309,5.0441892157862425
2020-09-03 21:07:00,2,"JUNG1,LMKS",2.5393135183313404,2.6156445484971442,3.823858535507203,3.8628918326505666
2020-09-04 13:00:00,1,JUNG1,2.188860583419128,2.188860583419128,3.90250236584698,3.90250236584698
2020-09-05 10:20:00,2,"LMKS,MXCO",2.6177843690530938,3.0458595261968466,3.9979047159861762,5.01079121986457
2020-09-06 03:44:00,1,JUNG1,2.231518094161562,2.389559179505957,4.61636055493825,5.321307129702492
2020-09-07 06:02:00,5,"AATB,APTY,DOMC,KERG,MXCO",4.304699808384598,7.827069307409842,3.816368266964774,4.978663616754449
2020-09-07 23:31:00,5,"AATB,APTY,INVK,JUNG1,KERG",3.3838634964608567,4.243363350171121,4.1085081470407205,5.046428422924722
2020-09-09 07:44:00,5,"DOMC,INVK,LMKS,NEWK,OULU",5.18192122402382,8.649808746571834,3.802832158988318,5.9851753483569645
2020-09-09 22:56:00,2,"APTY,JUNG1",2.665152013086805,2.775207113149669,3.8500242839368606,3.9163488013260337
2020-09-10 11:36:00,1,AATB,2.4101107742546035,2.4101107742546035,3.706643211456667,3.706643211456667
2020-09-11 16:28:00,5,"APTY,JUNG1,KERG,LMKS,MXCO",2.9518670996146485,3.809923639111934,4.1583443633076,4.859091856964167
2020-09-12 21:48:00,2,"KERG,OULU",3.5643558033020146,3.9655873667085175,4.665892039961609,5.132680766660344
2020-09-13 15:18:00,4,"AATB,APTY,DOMC,LMKS",3.4218875568986418,7.266294039700842,3.988315728482031,4.8557502017363126
2020-09-14 04:16:00,1,JUNG1,2.491706604180503,2.491706604180503,3.9602974693120365,3.9602974693120365
2020-09-15 18:37:00,5,"AATB,DOMC,JUNG1,LMKS,MXCO",3.2209868848417154,8.118896544512337,4.399583830181154,7.756886204142366
2020-09-16 11:44:00,1,APTY,3.270429964528692,3.2835702918914054,4.878748584609865,5.667330297616026
2020-09-17 01:32:00,1,LMKS,2.4030723872503206,2.4194665140435636,3.8888560896540274,4.508182508605813
2020-09-17 16:29:00,4,"APTY,KERG,MXCO,OULU",3.6168481969079944,4.5824776183427325,4.123707401099494,5.209561608625828
2020-09-18 13:34:00,4,"AATB,JUNG1,KERG,OULU",2.902193549651362,4.286448937302201,4.321076647912178,6.557668588576217
2020-09-19 14:44:00,4,"AATB,APTY,INVK,KERG",2.867230989287041,3.1940257847340146,3.7529341700056293,5.02235138126376
2020-09-20 19:12:00,6,"AATB,INVK,JUNG1,LMKS,NEWK,OULU",2.903821904469457,4.796040645033906,4.390562411387687,5.025835390300252
2020-09-21 19:06:00,3,"APTY,JUNG1,KERG",3.2648557525393853,3.731507113905258,4.360980289556473,5.988411958624689
2020-09-22 15:58:00,5,"APTY,DOMC,INVK,MXCO,OULU",4.372118604276412,7.648709829164244,3.8821393149628256,4.450805914124927
2020-09-23 14:15:00,3,"DOMC,JUNG1,KERG",3.5097681636584093,6.916248279946921,3.606299675692263,3.8506964496653957
2020-09-24 03:04:00,2,"AATB,DOMC",3.787121201442416,6.940120207461208,4.218618271451244,5.18429768105981
2020-09-25 13:59:00,5,"AATB,KERG,MXCO,NEWK,OULU",3.4819881669226285,4.330870710902183,3.808154217026098,4.873342519876073
2020-09-26 14:50:00,1,MXCO,2.5473730906345553,2.5473730906345553,4.423483676247473,4.423483676247473
2020-09-27 03:20:00,1,NEWK,5.025595052354003,5.170874300438081,3.8047904273405826,4.038189653824943
2020-09-28 02:26:00,4,"APTY,INVK,KERG,OULU",3.2978863745247855,4.187482699816739,4.170966634975047,4.832636937856566
2020-09-29 01:58:00,3,"JUNG1,LMKS,OULU",3.665712029754816,4.194741269778305,3.892017968247484,5.331527514262134
2020-09-30 08:14:00,4,"INVK,JUNG1,KERG,NEWK",3.4235005615620944,4.181499443810583,3.8770530273824955,4.603102250021668
2020-10-01 02:26:00,1,APTY,3.494236068951547,3.494236068951547,4.664303299081882,4.664303299081882
2020-10-02 08:56:00,2,"INVK,LMKS",2.8067251144311705,3.67949738503258,4.008502765021541,4.545139237109555
2020-10-03 02:13:00,3,"APTY,MXCO,OULU",4.667809328447743,5.409096029576409,4.348659718726208,5.227855390456682
2020-10-03 20:14:00,2,"JUNG1,OULU",3.8220205319997254,4.534895718139986,3.487541359963219,4.574106863017464
2020-10-04 13:24:00,5,"APTY,JUNG1,KERG,MXCO,NEWK",3.4610383521423023,4.727782331691101,3.883474795173125,4.435356696716439
2020-10-05 20:06:00,6,"APTY,INVK,KERG,LMKS,MXCO,OULU",3.6762799694305484,4.985996808422782,3.872434698364394,5.318952820697296
2020-10-08 03:22:00,4,"INVK,LMKS,NEWK,OULU",3.7277517549602477,5.476065471404417,3.708927727712358,4.694723075145887
2020-10-08 22:30:00,4,"APTY,INVK,KERG,NEWK",3.6448608084282705,4.3533240774149595,3.667019009418574,4.627325014427648
2020-10-09 21:30:00,4,"JUNG1,LMKS,MXCO,OULU",2.8025031705431442,4.572606389949553,4.583831235247854,5.7738375961932125
2020-10-11 17:36:00,3,"AATB,JUNG1,OULU",3.093548942423446,3.7347400949083096,4.938427249236451,5.787704623103827
2020-10-12 17:32:00,5,"AATB,INVK,JUNG1,LMKS,NEWK",2.9191185311839827,4.44376056480484,3.614578399937324,4.328534123411452
2020-10-13 19:04:00,3,"KERG,LMKS,MXCO",3.372771552248408,5.300054889483822,4.333712774994092,5.107994769280748
2020-10-14 08:32:00,1,APTY,3.5710055075657388,3.627650735247927,3.9590548655630675,4.151671969505048
2020-10-15 00:22:00,1,APTY,3.4896348600366673,3.549473673671556,4.135778105933774,4.54562883585297
2020-10-15 22:22:00,5,"AATB,INVK,JUNG1,KERG,OULU",3.5657291449647595,4.321020528185556,4.615354679146753,5.585471711529563
2020-10-16 13:40:00,3,"KERG,LMKS,MXCO",2.7587246120035815,2.94205680877927,3.6875953224003646,4.568429782130269
2020-10-17 07:36:00,4,"APTY,DOMC,MXCO,OULU",4.098833428094876,7.098067898033507,4.060044300003317,4.447086981254463
2020-10-18 12:26:00,6,"INVK,JUNG1,KERG,LMKS,MXCO,NEWK",3.541170022819566,4.815652310252968,3.826734826630369,4.412751309431887
2020-10-19 21:58:00,4,"APTY,JUNG1,MXCO,OULU",3.587890154882611,4.429842772297635,4.03221410021307,5.299103865491893
2020-10-20 14:08:00,1,AATB,2.149738986268201,2.149738986268201,4.772060593065766,4.772060593065766
2020-10-21 16:37:00,2,"APTY,KERG",3.082990161688283,3.291554761422292,3.4834313829470496,3.8443337664087034
2020-10-22 06:30:00,2,"DOMC,LMKS",4.9231695012821515,7.032154434189786,3.1315230576299955,3.355917718895899
2020-10-23 19:30:00,4,"INVK,JUNG1,KERG,MXCO",3.0029098105970755,3.526725377510766,3.960450906181202,4.746254777154005
2020-10-25 04:22:00,4,"INVK,LMKS,NEWK,OULU",3.480797260118205,4.840339969394407,3.6234626221856074,5.356270629468907
2020-10-25 21:36:00,2,"APTY,KERG",3.5925954834241773,4.66921344160983,3.4404908071179086,3.7426355926152346
2020-10-26 22:23:00,2,"JUNG1,MXCO",2.730152180274497,2.908918269773884,3.57987166062063,4.079593847740265
2020-10-28 02:08:00,5,"AATB,INVK,JUNG1,KERG,MXCO",2.8415141942254407,3.6655441472070573,3.8652854652866284,4.503301497983448
2020-10-29 03:20:00,3,"AATB,DOMC,MXCO",3.3759055292277695,6.936896277957233,4.3437007464277295,5.057890721841094
2020-10-29 23:06:00,3,"KERG,MXCO,NEWK",3.400466552766685,3.9417278178056057,4.393851443994985,5.14537857439007
2020-10-31 01:54:00,4,"APTY,KERG,MXCO,NEWK",3.8001879557412512,5.342746625815803,4.430015002960165,5.945388345425584
2020-10-31 21:26:00,3,"JUNG1,LMKS,OULU",3.9327374995998925,4.657720214496124,3.694099074272317,4.304856358559091
2020-11-01 13:46:00,2,"DOMC,JUNG1",4.2666438342820765,6.017180709315132,3.257027384291941,3.790360991487994
2020-11-02 08:18:00,3,"APTY,JUNG1,LMKS",2.7802410229609396,3.241410698201665,4.809128262190394,6.3332094036664275
2020-11-02 20:58:00,1,MXCO,2.79244480941965,2.799625599561783,4.662115508277795,4.827551428046301
