group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
208,2020-04-24 18:24:00+00:00,2020-04-23 21:42:00+00:00,2020-04-23 21:42:00+00:00,2020-04-24 18:24:00+00:00,20.7,1,1,KERG,3.150393686120903,3.150393686120903,7.751343940648874,2020-04-23 21:42:00+00:00,2020-04-23 21:42:00+00:00,2020-04-24 18:24:00+00:00,2020-04-24 18:24:00+00:00,1,KERG,0,,3.150393686120903,3.150393686120903,3.150393686120903,exploratory,single_station_candidate,C,False,2020
209,2020-04-27 03:40:00+00:00,2020-04-26 01:34:00+00:00,2020-04-26 01:34:00+00:00,2020-04-27 03:40:00+00:00,26.1,1,1,KERG,2.8808980621079825,2.8808980621079825,13.70675293284987,2020-04-26 01:34:00+00:00,2020-04-26 01:34:00+00:00,2020-04-27 03:40:00+00:00,2020-04-27 03:40:00+00:00,1,KERG,0,,2.8808980621079825,2.8808980621079825,2.8808980621079825,exploratory,single_station_candidate,C,False,2020
211,2020-05-02 16:28:00+00:00,2020-05-01 23:36:00+00:00,2020-05-01 23:36:00+00:00,2020-05-02 16:28:00+00:00,16.866666666666667,1,1,JUNG1,3.0598494591385856,3.0598494591385856,8.474136853954592,2020-05-01 23:36:00+00:00,2020-05-01 23:36:00+00:00,2020-05-02 16:28:00+00:00,2020-05-02 16:28:00+00:00,1,JUNG1,0,,3.0598494591385856,3.0598494591385856,3.0598494591385856,exploratory,single_station_candidate,C,False,2020
215,2020-05-16 21:12:00+00:00,2020-05-16 06:02:00+00:00,2020-05-16 06:02:00+00:00,2020-05-16 21:12:00+00:00,15.166666666666666,1,1,JUNG1,3.7704176073565496,3.7704176073565496,7.7537413290549075,2020-05-16 06:02:00+00:00,2020-05-16 06:02:00+00:00,2020-05-16 21:12:00+00:00,2020-05-16 21:12:00+00:00,1,JUNG1,0,,3.7704176073565496,3.7704176073565496,3.7704176073565496,exploratory,single_station_candidate,C,False,2020
221,2020-06-04 00:26:00+00:00,2020-06-02 20:16:00+00:00,2020-06-02 20:16:00+00:00,2020-06-04 00:26:00+00:00,28.166666666666668,1,1,KERG,2.9553269421892696,2.9553269421892696,3.5677246087453156,2020-06-02 20:16:00+00:00,2020-06-02 20:16:00+00:00,2020-06-04 00:26:00+00:00,2020-06-04 00:26:00+00:00,1,KERG,0,,2.9553269421892696,2.9553269421892696,2.9553269421892696,exploratory,single_station_candidate,C,False,2020
222,2020-06-04 17:46:00+00:00,2020-06-04 14:52:00+00:00,2020-06-04 14:52:00+00:00,2020-06-04 17:46:00+00:00,2.9,1,1,JUNG1,3.7053119312113023,3.7053119312113023,7.22092576803197,2020-06-04 14:52:00+00:00,2020-06-04 14:52:00+00:00,2020-06-04 17:46:00+00:00,2020-06-04 17:46:00+00:00,1,JUNG1,0,,3.7053119312113023,3.7053119312113023,3.7053119312113023,exploratory,single_station_candidate,C,False,2020
226,2020-06-25 22:24:00+00:00,2020-06-24 18:40:00+00:00,2020-06-24 18:40:00+00:00,2020-06-25 22:24:00+00:00,27.733333333333334,1,1,LMKS,2.6591362448021463,2.6591362448021463,6.791835707461582,2020-06-24 18:40:00+00:00,2020-06-24 18:40:00+00:00,2020-06-25 22:24:00+00:00,2020-06-25 22:24:00+00:00,1,LMKS,0,,2.6591362448021463,2.6591362448021463,2.6591362448021463,exploratory,single_station_candidate,C,False,2020
231,2020-07-09 00:08:00+00:00,2020-07-07 23:40:00+00:00,2020-07-07 23:40:00+00:00,2020-07-09 00:08:00+00:00,24.466666666666665,1,1,KERG,2.8707683302580738,2.8707683302580738,11.377804883808468,2020-07-07 23:40:00+00:00,2020-07-07 23:40:00+00:00,2020-07-09 00:08:00+00:00,2020-07-09 00:08:00+00:00,1,KERG,0,,2.8707683302580738,2.8707683302580738,2.8707683302580738,exploratory,single_station_candidate,C,False,2020
233,2020-07-14 10:04:00+00:00,2020-07-13 19:18:00+00:00,2020-07-13 19:18:00+00:00,2020-07-14 10:04:00+00:00,14.766666666666667,1,1,INVK,4.09069443517284,4.09069443517284,8.492161445945268,2020-07-13 19:18:00+00:00,2020-07-13 19:18:00+00:00,2020-07-14 10:04:00+00:00,2020-07-14 10:04:00+00:00,1,INVK,0,,4.09069443517284,4.09069443517284,4.09069443517284,exploratory,single_station_candidate,C,False,2020
238,2020-08-08 12:12:00+00:00,2020-08-07 02:16:00+00:00,2020-08-07 02:16:00+00:00,2020-08-08 12:12:00+00:00,33.93333333333333,1,1,KERG,3.368151533193275,3.368151533193275,3.324352354212934,2020-08-07 02:16:00+00:00,2020-08-07 02:16:00+00:00,2020-08-08 12:12:00+00:00,2020-08-08 12:12:00+00:00,1,KERG,0,,3.368151533193275,3.368151533193275,3.368151533193275,exploratory,single_station_candidate,C,False,2020
