time,duration,magnitude,ons type,V max,B max
1959-03-04 21:00,56,0.98,,,
1959-03-07 23:00,53,1.12,,,
1959-03-10 18:00,63,1.68,,,
1959-03-17 01:00,40,0.91,,,
1959-03-19 22:00,36,0.64,,,
1959-03-22 22:30,36,1.55,SSC,,
1959-03-25 04:00,26,2.36,,,
1959-03-26 08:42,36,6.08,SSC,,
1959-03-31 17:00,36,3.32,,,
1959-04-03 04:00,36,0.65,,,
1959-04-06 01:00,35,1.12,,,
1959-04-08 11:00,27,0.89,,,
1959-04-09 18:24,36,4.92,SSC,,
1959-04-11 20:00,36,1.18,,,
1959-04-15 00:00,36,1.04,,,
1959-04-19 23:00,40,0.88,,,
1959-04-23 10:36,33,3.8,SSC,,
1959-04-26 07:00,49,1.09,,,
1959-04-28 21:00,33,1.16,,,
1959-04-30 12:00,36,0.93,,,
1959-05-02 09:00,32,1.25,,,
1959-05-03 22:00,19,1.35,,,
1959-05-04 20:18,60,1.03,SSC,,
1959-05-08 04:00,34,1.07,,,
1959-05-09 21:00,36,0.64,,,
1959-05-11 23:24,33,13.6,SSC,,
1959-05-13 14:00,35,3.02,,,
1959-05-15 09:00,34,1.33,,,
1959-05-18 04:00,36,0.67,,,
1959-05-20 22:00,18,0.44,,,
1959-05-21 19:00,35,0.67,,,
1959-05-24 05:42,35,3.65,SSC,,
1959-05-26 01:00,29,0.91,,,
1959-05-28 03:00,36,0.62,,,
1959-05-31 03:00,36,1.68,,,
1959-06-02 07:00,31,0.82,,,
1959-06-03 23:12,36,1.19,SSC,,
1959-06-06 12:00,28,0.74,,,
1959-06-09 00:12,36,1.95,SSC,,
1959-06-11 09:06,36,3.38,SSC,,
1959-06-13 23:00,57,2.89,,,
1959-06-17 03:00,50,1.43,,,
1959-06-23 14:00,49,0.97,,,
1959-06-26 06:00,21,0.55,,,
1959-06-27 06:30,40,2.95,SSC,,
1959-06-29 07:24,22,0.97,SSC,,
1959-06-30 08:00,34,1.43,SSC,,
1959-07-02 01:00,29,0.85,,,
1959-07-03 10:00,38,2.06,,,
1959-07-05 08:00,31,1.09,,,
1959-07-06 20:00,49,1.21,,,
1959-07-11 16:24,36,8.42,SSC,,
1959-07-14 04:00,25,0.77,,,
1959-07-15 08:00,36,18.6,SSC,,
1959-07-17 16:42,32,14.7,SSC,,
1959-07-19 06:00,9,1.55,,,
1959-07-22 19:00,33,0.95,,,
1959-07-24 10:00,30,1.31,,,
1959-07-25 20:00,37,0.9,,,
1959-07-27 19:00,37,0.73,,,
1959-07-31 03:00,37,4.34,,,
1959-08-02 00:00,30,0.97,,,
1959-08-03 11:00,46,1.39,,,
1959-08-06 13:00,29,1.08,,,
1959-08-08 19:00,49,1.02,,,
1959-08-13 07:00,36,0.92,,,
1959-08-15 03:00,22,0.81,,,
1959-08-16 04:00,36,3.63,SSC,,
1959-08-18 02:00,41,2.53,,,
1959-08-20 04:12,14,5.52,SSC,,
1959-08-20 20:36,17,1.09,SSC,,
1959-08-21 16:00,36,0.81,,,
1959-08-24 09:00,36,0.88,,,
1959-08-29 07:00,41,1.93,,,
1959-08-31 16:00,16,1.87,,,
1959-09-01 10:00,40,0.94,,,
1959-09-03 14:18,7,0.17,SSC,,
1959-09-03 21:54,39,5.85,SSC,,
1959-09-06 22:00,29,0.7,,,
1959-09-08 14:00,42,1.22,,,
1959-09-10 20:00,43,1.09,,,
1959-09-13 17:00,25,0.57,,,
1959-09-14 21:00,40,0.77,,,
1959-09-17 17:00,28,0.78,,,
1959-09-19 01:00,30,8.18,,,
1959-09-20 11:54,54,1.49,SSC,,
1959-09-23 09:00,32,0.8,,,
1959-09-25 22:00,36,1.13,,,
1959-10-01 02:00,24,0.87,,,
1959-10-02 05:00,41,1.55,,,
1959-10-04 07:00,29,0.67,,,
1959-10-05 16:00,39,1,,,
1959-10-08 19:00,36,0.91,,,
1959-10-12 22:00,23,0.88,,,
1959-10-14 00:00,36,0.81,,,
1959-10-16 23:00,46,1,,,
1959-10-21 19:00,52,1.33,,,
1959-10-24 20:00,51,1.76,,,
1959-10-27 13:00,36,0.88,,,
1959-10-29 23:48,55,3.1,SSC,,
1959-11-01 22:00,41,1.27,,,
1959-11-05 21:00,30,0.83,,,
1959-11-07 19:00,28,0.89,,,
1959-11-09 03:12,57,1.22,SSC,,
1959-11-13 20:00,36,0.68,,,
1959-11-16 21:00,33,0.99,,,
1959-11-18 12:00,32,0.76,,,
1959-11-20 07:00,24,0.84,,,
1959-11-21 11:36,29,1.27,SSC,,
1959-11-22 21:00,36,0.77,,,
1959-11-25 21:00,41,1.15,,,
1959-11-27 23:48,36,2.65,SSC,,
1959-11-30 05:00,30,1.33,,,
1959-12-01 23:00,19,0.51,,,
1959-12-02 21:00,36,6.73,,,
1959-12-05 06:54,36,1.63,SSC,,
1959-12-07 04:00,36,1.5,,,
1959-12-10 02:00,36,0.91,,,
1959-12-13 18:24,24,0.95,SSC,,
1959-12-14 21:00,27,0.98,,,
1959-12-18 00:00,36,2.25,,,
1959-12-19 20:00,44,0.88,,,
1959-12-22 03:00,18,1.01,,,
1959-12-22 23:00,14,0.86,,,
1959-12-23 15:18,63,2.58,SSC,,
1959-12-26 06:00,34,0.93,,,
1959-12-27 23:00,61,1.92,,,
1960-01-03 05:00,24,1.48,,,
1960-01-04 08:12,16,1.39,SSC,,
1960-01-05 02:00,47,1.71,SSC,,
1960-01-10 06:06,47,1.31,SSC,,
1960-01-13 19:00,42,6.39,SSC,,
1960-01-16 21:12,24,1.52,SSC,,
1960-01-18 06:00,34,2.27,,,
1960-01-19 22:06,57,1.47,SSC,,
1960-01-24 05:00,36,1.4,,,
1960-01-26 02:00,51,1.21,,,
1960-01-28 19:12,43,1.54,SSC,,
1960-02-01 08:00,50,3.2,,,
1960-02-05 11:00,30,1.33,,,
1960-02-08 15:00,52,2.35,,,
1960-02-12 22:00,36,1.84,,,
1960-02-15 07:00,41,1.05,,,
1960-02-17 19:00,40,0.99,,,
1960-02-20 11:00,61,1.44,,,
1960-02-25 03:00,28,0.87,,,
1960-02-26 10:42,43,36.5,SSC,,
1960-03-01 03:00,44,0.86,,,
1960-03-04 22:00,59,1.32,,,
1960-03-08 11:00,36,0.9,,,
1960-03-10 07:00,46,1.12,,,
1960-03-14 07:00,22,1.83,,,
1960-03-15 08:18,61,1.93,SSC,,
1960-03-19 19:00,28,0.72,,,
1960-03-23 22:00,54,1.83,,,
1960-03-27 03:00,64,1.19,,,
1960-03-30 19:00,58,12.9,,,
1960-04-02 23:12,36,2.37,SSC,,
1960-04-05 12:54,25,0.7,SSC,,
1960-04-06 16:24,20,1.28,SSC,,
1960-04-07 15:12,36,2.84,SSC,,
1960-04-10 01:24,33,1.12,SSC,,
1960-04-11 22:00,30,0.79,,,
1960-04-14 06:00,49,1.77,,,
1960-04-17 00:00,36,1.14,,,
1960-04-23 21:00,52,1.49,,,
1960-04-26 20:00,21,0.81,,,
